	time (ns)	angle (degree)	average angle	angle standard deviation
372	372.000	12.051	13.863	1.856
373	373.000	13.477	13.814	1.880
374	374.000	15.208	13.898	1.782
375	375.000	17.251	13.781	1.796
376	376.000	14.067	13.739	1.815
377	377.000	15.929	13.693	1.824
378	378.000	15.112	13.775	1.812
379	379.000	16.947	13.771	1.814
380	380.000	16.527	13.817	1.781
381	381.000	12.909	13.906	1.711
382	382.000	14.510	13.994	1.592
383	383.000	16.067	13.993	1.593
384	384.000	12.586	13.886	1.627
385	385.000	12.355	13.943	1.585
386	386.000	12.839	14.022	1.610
387	387.000	12.185	14.034	1.620
388	388.000	12.461	13.915	1.476
389	389.000	12.806	13.869	1.489
390	390.000	14.496	13.734	1.447
391	391.000	12.795	13.688	1.419
392	392.000	13.164	13.577	1.253
393	393.000	13.644	13.530	1.154
394	394.000	12.889	13.687	1.323
395	395.000	12.771	13.750	1.398
396	396.000	12.104	13.710	1.342
397	397.000	13.468	13.758	1.322
398	398.000	15.455	13.778	1.303
399	399.000	15.503	13.872	1.318
400	400.000	14.280	14.048	1.376
401	401.000	12.922	14.187	1.384
402	402.000	12.560	14.198	1.373
403	403.000	13.960	14.199	1.373
404	404.000	14.181	14.230	1.349
405	405.000	15.330	14.290	1.332
406	406.000	16.852	14.350	1.336
407	407.000	16.077	14.480	1.347
408	408.000	15.058	14.722	1.554
409	409.000	13.789	14.902	1.497
410	410.000	12.855	14.944	1.469
411	411.000	15.196	14.978	1.491
412	412.000	16.587	15.024	1.526
413	413.000	15.927	15.095	1.531
414	414.000	13.089	15.350	1.677
415	415.000	14.518	15.647	1.815
416	416.000	13.572	15.851	1.902
417	417.000	14.663	15.950	1.876
418	418.000	15.149	16.042	1.900
419	419.000	16.148	16.045	1.902
420	420.000	18.815	15.973	1.935
421	421.000	16.592	15.942	1.956
422	422.000	14.523	15.982	1.920
423	423.000	16.305	16.057	1.827
424	424.000	16.660	16.049	1.832
425	425.000	16.046	16.028	1.828
426	426.000	19.293	16.084	1.846
427	427.000	19.995	16.190	1.740
428	428.000	19.058	16.150	1.790
429	429.000	16.650	16.099	1.883
430	430.000	17.629	15.946	2.142
431	431.000	16.938	15.766	2.387
432	432.000	14.266	15.544	2.598
433	433.000	14.288	15.290	2.575
434	434.000	14.796	15.176	2.578
435	435.000	14.723	15.043	2.697
436	436.000	14.985	14.955	2.690
437	437.000	16.076	14.846	2.673
438	438.000	17.317	14.716	2.692
439	439.000	15.736	14.431	2.560
440	440.000	13.531	14.121	2.316
441	441.000	12.296	13.939	2.079
442	442.000	10.831	13.880	2.019
443	443.000	10.653	13.701	1.865
444	444.000	10.610	13.509	1.762
445	445.000	12.460	13.426	1.773
446	446.000	13.729	13.340	1.782
447	447.000	11.191	13.213	1.787
448	448.000	14.125	13.231	1.806
449	449.000	13.932	13.275	1.862
450	450.000	12.783	13.154	1.768
451	451.000	12.182	12.972	1.542
452	452.000	12.232	12.820	1.441
453	453.000	14.514	12.803	1.435
454	454.000	15.172	12.812	1.433
455	455.000	13.146	12.857	1.384
456	456.000	12.156	12.815	1.468
457	457.000	12.195	12.746	1.609
458	458.000	12.138	12.679	1.656
459	459.000	11.608	12.516	1.748
460	460.000	15.182	12.519	1.745
461	461.000	16.075	12.498	1.727
462	462.000	13.055	12.526	1.757
463	463.000	12.756	12.635	1.856
464	464.000	11.955	12.685	1.860
465	465.000	13.098	12.794	1.912
466	466.000	12.521	12.789	1.908
467	467.000	11.968	12.727	1.851
468	468.000	9.593	12.786	1.888
469	469.000	8.895	12.810	1.884
470	470.000	10.778	12.957	1.976
471	471.000	9.636	13.071	2.008
472	472.000	11.282	13.254	2.077
473	473.000	13.589	13.245	2.069
474	474.000	14.634	13.192	2.010
475	475.000	15.516	13.179	2.012
476	476.000	13.425	13.091	2.078
477	477.000	14.974	13.008	2.165
478	478.000	14.385	12.929	2.197
479	479.000	13.621	12.930	2.197
480	480.000	14.621	13.010	2.197
481	481.000	12.742	13.184	2.085
482	482.000	15.881	13.465	1.951
483	483.000	14.982	13.573	1.869
484	484.000	16.197	13.728	1.680
485	485.000	14.952	13.754	1.645
486	486.000	14.755	13.750	1.645
487	487.000	12.717	13.654	1.662
488	488.000	10.552	13.507	1.653
489	489.000	9.884	13.397	1.748
490	490.000	11.122	13.303	1.722
491	491.000	12.556	13.200	1.732
492	492.000	13.952	13.144	1.741
493	493.000	13.959	13.032	1.732
494	494.000	15.903	12.990	1.752
495	495.000	13.497	12.896	1.650
496	496.000	13.503	12.846	1.603
497	497.000	11.938	12.759	1.466
498	498.000	13.493		
499	499.000	12.220		
500	500.000	11.846		
501	501.000	10.664		
502	502.000	12.646		
503	503.000	11.803		
504	504.000	12.220		
505	505.000	11.811		
506	506.000	11.699		
507	507.000	13.533		
508	508.000	13.735		
509	509.000	14.018		
