	time (ns)	angle (degree)	average angle	angle standard deviation
276	776.000	7.922	10.837	1.942
277	777.000	10.394	10.726	1.746
278	778.000	9.356	10.671	1.680
279	779.000	13.721	10.673	1.682
280	780.000	13.100	10.781	1.844
281	781.000	11.535	11.032	2.091
282	782.000	9.824	11.223	2.227
283	783.000	12.258	11.513	2.527
284	784.000	12.112	11.805	2.626
285	785.000	10.530	12.092	2.706
286	786.000	9.577	12.415	2.890
287	787.000	9.312	12.714	2.832
288	788.000	12.547	13.080	2.918
289	789.000	12.529	13.535	2.966
290	790.000	11.983	13.885	3.094
291	791.000	13.338	14.281	3.124
292	792.000	14.617	14.565	3.383
293	793.000	15.896	14.720	3.401
294	794.000	14.987	14.894	3.342
295	795.000	17.360	15.242	3.244
296	796.000	16.143	15.432	3.201
297	797.000	16.255	15.722	3.216
298	798.000	17.812	15.985	3.037
299	799.000	15.774	16.361	2.783
300	800.000	18.132	16.723	2.388
301	801.000	19.281	16.918	2.226
302	802.000	19.159	17.028	2.062
303	803.000	19.256	17.052	2.004
304	804.000	20.820	17.006	2.103
305	805.000	16.957	16.832	2.458
306	806.000	15.889	16.570	2.876
307	807.000	18.541	16.333	3.234
308	808.000	16.992	16.007	3.524
309	809.000	19.358	15.823	3.635
310	810.000	17.114	15.627	3.741
311	811.000	18.988	15.414	3.763
312	812.000	18.351	15.238	3.848
313	813.000	17.422	14.982	3.860
314	814.000	15.276	14.690	3.797
315	815.000	12.577	14.425	3.702
316	816.000	12.194	14.051	3.665
317	817.000	10.269	13.639	3.445
318	818.000	9.341	13.449	3.385
319	819.000	9.062	13.311	3.351
320	820.000	9.207	13.163	3.189
321	821.000	11.541	13.066	3.103
322	822.000	11.372	12.874	2.835
323	823.000	12.484	12.783	2.727
324	824.000	11.363	12.571	2.412
325	825.000	11.746	12.427	2.146
326	826.000	11.968	12.374	2.030
327	827.000	12.531	12.277	1.941
328	828.000	9.913	12.335	1.973
329	829.000	10.526	12.338	1.972
330	830.000	12.198	12.382	1.936
331	831.000	12.433	12.428	1.873
332	832.000	14.846	12.469	1.807
333	833.000	14.558	12.650	1.689
334	834.000	14.575	12.594	1.749
335	835.000	14.835	12.738	1.792
336	836.000	13.678	12.795	1.806
337	837.000	14.767	12.816	1.792
338	838.000	16.079	12.804	1.799
339	839.000	12.858	12.840	1.791
340	840.000	14.039	12.794	1.814
341	841.000	12.263	12.876	1.722
342	842.000	11.361	12.832	1.798
