	time (ns)	angle (degree)	average angle	angle standard deviation
314	814.000	9.873	9.944	1.842
315	815.000	11.820	10.013	1.839
316	816.000	13.251	10.169	1.800
317	817.000	12.413	10.273	1.796
318	818.000	13.715	10.277	1.797
319	819.000	10.185	10.355	1.768
320	820.000	8.885	10.322	1.797
321	821.000	8.814	10.336	1.785
322	822.000	10.312	10.469	1.734
323	823.000	10.679	10.631	1.879
324	824.000	11.550	10.950	1.513
325	825.000	10.295	10.968	1.515
326	826.000	10.364	11.058	1.500
327	827.000	10.775	11.193	1.541
328	828.000	11.607	11.257	1.600
329	829.000	11.449	11.164	1.546
330	830.000	10.590	11.188	1.570
331	831.000	10.662	11.245	1.689
332	832.000	8.417	11.308	1.677
333	833.000	9.030	11.440	1.606
334	834.000	11.427	11.504	1.527
335	835.000	14.128	11.545	1.507
336	836.000	12.918	11.586	1.497
337	837.000	11.397	11.524	1.530
338	838.000	11.889	11.687	1.608
339	839.000	13.262	11.891	1.752
340	840.000	13.403	12.044	1.815
341	841.000	10.933	12.067	1.813
342	842.000	13.003	12.118	1.813
343	843.000	15.160	12.192	1.786
344	844.000	11.760	12.258	1.757
345	845.000	12.180	12.366	1.586
346	846.000	10.424	12.439	1.463
347	847.000	11.334	12.391	1.516
348	848.000	11.702	12.295	1.477
349	849.000	9.996	12.169	1.555
350	850.000	14.359	12.185	1.549
351	851.000	15.483	12.074	1.665
352	852.000	14.580	11.921	1.727
353	853.000	12.194	11.853	1.700
354	854.000	12.731	11.893	1.689
355	855.000	12.434	11.757	1.731
356	856.000	12.316	11.505	1.674
357	857.000	11.096	11.401	1.737
358	858.000	10.869	11.237	1.850
359	859.000	10.233	11.144	1.949
360	860.000	11.723	11.188	1.965
361	861.000	9.755	11.118	1.977
362	862.000	11.815	11.122	1.975
363	863.000	9.117	11.039	1.874
364	864.000	9.423	10.949	1.697
365	865.000	11.715	10.894	1.594
366	866.000	11.916	10.859	1.574
367	867.000	9.622	10.742	1.537
368	868.000	8.842	10.747	1.543
369	869.000	9.165	10.740	1.537
370	870.000	8.074	10.750	1.540
371	871.000	8.099	10.855	1.634
372	872.000	12.433	11.011	1.755
373	873.000	9.957	11.108	1.859
374	874.000	10.107	11.217	1.857
375	875.000	12.276	11.224	1.860
376	876.000	13.225	11.348	1.816
